C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data     19/10/2021  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	As	Se	Br	Rb	Sr	Y	Zr	Rh	In	Sn	Sb	Ba	La	Ce	Pr	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000174.spe	924.01	6.27	1	0.010265	-0.008803	0.010128	0.075074	81144	1.52	264	1816	55	59	52	837	14511	1471	19	13230	531	807	1663	213843	623	582	1433	669	41	31	91	0	4601	3435	827	1875	12	11	98	60	461	78	187	187	266	959	2333	464	257	629	20	1194	875	2144	70679	20283	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000175.spe	926.01	6.28	1	0.010265	-0.008803	0.010128	0.075074	81452	1.58	207	2057	23	45	26	904	14931	1511	25	13397	477	827	1691	213225	702	453	1508	593	63	6	138	0	5008	3536	913	1917	28	0	162	0	477	82	294	272	206	1061	2244	478	336	399	0	1287	913	1974	70976	20369	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000176.spe	928.01	6.28	1	0.010265	-0.008803	0.010128	0.075074	80279	1.51	259	1904	24	72	57	860	14206	1533	0	13558	530	692	1465	206844	679	502	1494	606	75	63	90	0	4801	3505	1067	1959	0	100	36	31	512	123	183	255	213	1016	2350	372	157	642	0	1140	872	2107	71237	20683	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000177.spe	930.01	6.28	1	0.010265	-0.008803	0.010128	0.075074	81044	1.47	265	2027	65	84	16	843	14313	1433	0	13837	418	853	1519	215348	666	508	1280	566	0	428	61	25	4673	3522	957	1959	27	112	42	60	460	70	287	242	221	1006	2314	126	397	908	0	1298	876	2425	70031	20185	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000178.spe	932.01	6.29	1	0.010265	-0.008803	0.010128	0.075074	82119	1.65	212	1824	12	24	36	919	14058	1440	0	13723	467	722	1466	226473	674	394	1454	581	96	134	26	0	4540	3566	815	1769	4	53	23	36	358	54	344	241	188	972	2395	290	362	465	24	1457	974	2122	69505	20296	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000179.spe	934.01	6.30	1	0.010265	-0.008803	0.010128	0.075074	82497	1.66	223	1940	8	73	18	837	14185	1425	15	13943	448	868	1473	225126	658	481	1360	762	148	234	171	0	4570	3637	1039	1885	23	19	93	39	539	95	187	196	293	901	2318	183	438	636	0	1450	900	2082	71383	20274	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000180.spe	936.01	6.30	1	0.010265	-0.008803	0.010128	0.075074	81595	1.49	265	2000	15	63	32	875	13993	1436	12	13884	453	795	1581	221024	692	582	1401	565	100	0	64	0	4827	3291	787	1663	31	19	56	22	526	54	256	252	185	864	2282	522	285	480	0	1465	835	1980	69804	19962	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000181.spe	938.01	6.31	1	0.010265	-0.008803	0.010128	0.075074	81757	1.46	327	1962	10	48	9	863	14080	1593	17	13949	499	775	1523	224088	710	560	1370	649	35	209	190	0	4554	3541	890	1960	0	116	36	0	449	53	236	236	169	870	2308	430	321	685	0	1352	892	2101	70283	20068	0.155	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000182.spe	940.01	6.32	1	0.010265	-0.008803	0.010128	0.075074	83065	1.64	302	1933	24	68	36	788	14393	1514	13	13810	485	758	1555	229211	658	539	1334	518	48	389	89	0	4375	3671	989	2001	35	62	51	10	554	83	242	296	191	1021	2283	183	295	692	230	1493	1060	2031	70542	20090	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000183.spe	942.01	6.32	1	0.010265	-0.008803	0.010128	0.075074	81396	1.52	216	1920	56	60	24	826	14372	1472	16	13780	392	669	1693	215112	656	577	1495	558	61	179	68	0	4648	3451	805	1672	0	34	98	37	408	92	295	204	227	968	2201	409	392	552	70	1284	836	2011	70727	20906	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000184.spe	944.01	6.32	1	0.010265	-0.008803	0.010128	0.075074	82801	1.66	266	1912	63	38	25	794	14772	1575	0	13525	435	841	1684	222008	720	618	1493	578	0	274	19	0	4635	3252	798	1648	34	86	69	0	487	117	265	262	185	925	2326	262	257	800	0	1249	979	2114	71776	20582	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000185.spe	946.01	6.33	1	0.010265	-0.008803	0.010128	0.075074	84608	1.58	325	1986	38	26	39	809	15242	1646	31	12651	536	876	1763	235087	672	698	1434	561	0	152	174	18	5052	3514	789	1721	26	31	136	33	483	54	269	188	240	875	2207	265	409	613	0	1511	926	2086	70769	20600	0.156	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000186.spe	948.01	6.34	1	0.010265	-0.008803	0.010128	0.075074	83042	1.63	280	1997	29	46	47	801	15277	1604	5	12209	529	782	1762	220851	675	628	1364	725	108	137	118	0	5147	3654	870	1443	17	97	57	49	448	101	295	201	192	1032	2164	303	400	527	0	1367	975	2162	72927	20627	0.157	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000187.spe	950.01	6.35	1	0.010265	-0.008803	0.010128	0.075074	84838	1.60	286	2023	10	63	19	854	15849	1633	15	11989	535	861	1801	226907	672	632	1409	684	0	35	0	20	5062	3778	945	1561	36	52	85	16	544	103	269	255	221	1005	2324	575	359	675	0	1306	963	1922	73627	21213	0.159	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000188.spe	952.01	6.34	1	0.010265	-0.008803	0.010128	0.075074	88109	1.54	323	1935	44	73	22	840	16027	1670	57	11582	519	823	1740	248315	750	703	1337	658	0	56	0	141	5172	3431	754	1280	40	34	132	41	571	87	254	253	212	1048	2209	479	326	543	0	1530	1028	2451	73946	20826	0.159	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000189.spe	954.01	6.35	1	0.010265	-0.008803	0.010128	0.075074	88682	1.62	235	1884	23	61	39	867	15752	1701	0	11555	591	823	1839	238707	698	723	1594	732	130	178	143	81	5175	3381	782	1255	0	69	114	19	427	89	337	274	138	1030	2262	475	538	848	55	1468	1009	2167	76485	21292	0.163	
C:\Data\MAYLE2021\LOMA-SUAREZ_V2\LOMA-SUAREZ_42-82cm\XRF data\L000190.spe	956.01	6.34	1	0.010265	-0.008803	0.010128	0.075074	87527	1.66	209	1686	72	15	0	1028	14155	1503	49	10300	455	725	1628	216374	759	726	1627	627	0	0	47	0	5682	3672	1197	1385	28	42	73	26	434	117	267	214	176	827	1887	809	341	723	0	1489	964	1726	87524	23245	0.173	
