Exported at 17/08/2021 13:38:26
Core ID:,MAYLE21-Loma-Suarez-18-62cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
14.0,14.0,1,14.000,05/08/2021 14:23:51,-2.730,8.990,1153964.491,12.105,9.3 YR 3.90/1.40,11.46, 11.62, 9.48,40.61, 3.04, 8.96,7.63, 7.58, 7.65, 7.72, 7.77, 7.85, 7.98, 8.21, 8.43, 8.67, 8.79, 8.93, 9.03, 9.26, 9.55, 9.88, 10.27, 10.63, 11.03, 11.42, 11.81, 12.17, 12.54, 12.87, 13.13, 13.43, 13.65, 13.93, 14.19, 14.41, 14.65, 14.88, 15.13, 15.45, 15.67, 15.93, 16.16, 16.39, 16.66, 
14.5,14.5,1,14.500,05/08/2021 14:24:08,2.479,9.062,1153964.489,12.054,9.4 YR 4.00/1.00,11.40, 11.69, 10.39,40.72, 2.11, 6.39,8.51, 8.52, 8.65, 8.72, 8.78, 8.86, 8.95, 9.12, 9.32, 9.51, 9.64, 9.73, 9.84, 9.99, 10.22, 10.47, 10.76, 11.02, 11.27, 11.53, 11.80, 12.06, 12.34, 12.56, 12.76, 13.00, 13.17, 13.38, 13.58, 13.78, 13.95, 14.13, 14.33, 14.61, 14.81, 15.05, 15.24, 15.42, 15.72, 
15.0,15.0,1,15.000,05/08/2021 14:24:25,-2.441,8.728,1153964.290,13.100,9.3 YR 4.10/1.30,12.40, 12.62, 10.59,42.19, 2.81, 8.34,8.71, 8.67, 8.77, 8.83, 8.88, 8.93, 9.05, 9.22, 9.45, 9.67, 9.82, 9.94, 10.05, 10.29, 10.57, 10.89, 11.27, 11.66, 12.05, 12.43, 12.82, 13.16, 13.51, 13.85, 14.12, 14.40, 14.61, 14.89, 15.14, 15.37, 15.59, 15.84, 16.10, 16.40, 16.71, 16.95, 17.21, 17.48, 17.75, 
15.5,15.5,1,15.500,05/08/2021 14:24:43,-0.219,8.139,1153964.090,12.859,9.5 YR 4.10/1.40,12.17, 12.37, 10.12,41.79, 2.94, 9.06,8.03, 8.02, 8.16, 8.24, 8.30, 8.37, 8.52, 8.72, 9.02, 9.25, 9.40, 9.50, 9.64, 9.88, 10.19, 10.55, 10.96, 11.35, 11.76, 12.17, 12.58, 12.96, 13.35, 13.65, 13.92, 14.23, 14.46, 14.72, 14.98, 15.24, 15.45, 15.67, 15.97, 16.32, 16.54, 16.79, 17.14, 17.38, 17.59, 
16.0,16.0,1,16.000,05/08/2021 14:25:00,-3.622,7.074,1153963.763,11.279,9.6 YR 3.80/0.90,10.66, 10.95, 9.80,39.49, 1.96, 6.04,7.92, 7.93, 8.07, 8.17, 8.25, 8.30, 8.44, 8.59, 8.78, 8.96, 9.09, 9.19, 9.29, 9.45, 9.64, 9.87, 10.11, 10.33, 10.56, 10.80, 11.06, 11.25, 11.51, 11.74, 11.91, 12.09, 12.29, 12.49, 12.66, 12.86, 13.00, 13.21, 13.43, 13.64, 13.84, 14.05, 14.24, 14.40, 14.61, 
16.5,16.5,1,16.500,05/08/2021 14:25:17,-3.111,7.935,1153963.499,10.881,9.6 YR 3.80/1.00,10.29, 10.54, 9.30,38.79, 2.11, 6.40,7.48, 7.49, 7.64, 7.70, 7.74, 7.82, 7.98, 8.13, 8.31, 8.49, 8.63, 8.73, 8.84, 8.99, 9.18, 9.42, 9.67, 9.91, 10.12, 10.37, 10.64, 10.88, 11.12, 11.36, 11.53, 11.74, 11.92, 12.09, 12.33, 12.54, 12.66, 12.86, 13.09, 13.34, 13.53, 13.73, 13.97, 14.16, 14.36, 
17.0,17.0,1,17.000,05/08/2021 14:25:35,-0.895,8.204,1153963.627,14.393,8.7 YR 4.30/0.80,13.63, 14.02, 13.17,44.26, 1.95, 5.00,11.97, 11.82, 11.86, 11.83, 11.75, 11.70, 11.69, 11.82, 11.88, 12.04, 12.14, 12.24, 12.27, 12.47, 12.67, 12.84, 13.09, 13.32, 13.61, 13.90, 14.15, 14.35, 14.63, 14.84, 15.03, 15.25, 15.43, 15.65, 15.87, 16.07, 16.21, 16.45, 16.67, 16.89, 17.10, 17.37, 17.55, 17.65, 17.95, 
17.5,17.5,1,17.500,05/08/2021 14:25:43,2.269,8.069,1153963.498,12.676,9.5 YR 4.00/1.00,11.98, 12.29, 10.84,41.67, 2.15, 6.73,8.66, 8.69, 8.87, 8.96, 9.04, 9.14, 9.29, 9.47, 9.68, 9.91, 10.07, 10.18, 10.30, 10.50, 10.72, 10.98, 11.27, 11.55, 11.83, 12.13, 12.39, 12.69, 12.96, 13.23, 13.40, 13.68, 13.88, 14.10, 14.35, 14.53, 14.73, 14.99, 15.13, 15.47, 15.70, 15.89, 16.18, 16.39, 16.62, 
18.0,18.0,1,18.000,05/08/2021 14:26:00,-2.536,8.731,1153963.432,12.416,9.0 YR 4.00/0.90,11.75, 12.07, 11.09,41.32, 2.00, 5.43,9.18, 9.19, 9.33, 9.43, 9.50, 9.55, 9.67, 9.79, 9.97, 10.13, 10.28, 10.38, 10.47, 10.60, 10.79, 10.99, 11.21, 11.44, 11.66, 11.88, 12.13, 12.39, 12.65, 12.85, 13.04, 13.26, 13.43, 13.64, 13.86, 14.04, 14.20, 14.36, 14.67, 14.84, 15.04, 15.35, 15.52, 15.68, 15.96, 
18.5,18.5,1,18.500,05/08/2021 14:26:18,-3.606,9.386,1153963.236,12.499,9.2 YR 4.00/0.80,11.82, 12.17, 11.24,41.48, 1.81, 5.29,9.34, 9.36, 9.51, 9.59, 9.65, 9.71, 9.80, 9.95, 10.11, 10.26, 10.41, 10.51, 10.60, 10.74, 10.92, 11.14, 11.37, 11.57, 11.79, 12.01, 12.23, 12.47, 12.72, 12.93, 13.09, 13.28, 13.45, 13.67, 13.83, 14.03, 14.22, 14.38, 14.59, 14.87, 15.05, 15.26, 15.49, 15.66, 15.88, 
19.0,19.0,1,19.000,05/08/2021 14:26:35,-1.838,9.518,1153963.103,12.936,9.1 YR 4.10/0.80,12.24, 12.61, 11.75,42.16, 1.80, 5.06,9.94, 9.93, 10.06, 10.12, 10.16, 10.20, 10.27, 10.43, 10.59, 10.73, 10.87, 10.98, 11.06, 11.21, 11.39, 11.59, 11.79, 12.01, 12.21, 12.46, 12.69, 12.91, 13.13, 13.36, 13.52, 13.71, 13.93, 14.09, 14.29, 14.50, 14.60, 14.82, 15.04, 15.25, 15.45, 15.72, 15.91, 16.06, 16.32, 
19.5,19.5,1,19.500,05/08/2021 14:26:52,-3.139,9.388,1153962.903,12.492,9.2 YR 4.00/0.80,11.82, 12.16, 11.21,41.47, 1.86, 5.33,9.54, 9.52, 9.63, 9.69, 9.69, 9.74, 9.81, 9.94, 10.07, 10.26, 10.39, 10.46, 10.54, 10.72, 10.91, 11.10, 11.32, 11.54, 11.78, 12.02, 12.24, 12.47, 12.72, 12.92, 13.09, 13.30, 13.47, 13.67, 13.86, 14.04, 14.18, 14.42, 14.55, 14.82, 15.08, 15.23, 15.41, 15.65, 15.86, 
20.0,20.0,1,20.000,05/08/2021 14:27:10,-3.006,10.840,1153962.772,12.580,9.0 YR 4.00/0.90,11.90, 12.22, 11.13,41.56, 2.05, 5.74,9.29, 9.29, 9.42, 9.51, 9.54, 9.58, 9.71, 9.79, 10.01, 10.16, 10.32, 10.39, 10.51, 10.65, 10.83, 11.06, 11.32, 11.57, 11.79, 12.05, 12.30, 12.54, 12.84, 13.04, 13.23, 13.45, 13.63, 13.91, 14.08, 14.26, 14.45, 14.61, 14.85, 15.12, 15.32, 15.56, 15.75, 16.00, 16.26, 
20.5,20.5,1,20.500,05/08/2021 14:27:27,-2.876,10.382,1153962.569,14.982,7.7 YR 4.40/0.60,14.20, 14.65, 14.45,45.15, 1.71, 3.43,13.43, 13.30, 13.35, 13.29, 13.17, 13.09, 13.04, 13.05, 13.14, 13.23, 13.31, 13.34, 13.39, 13.48, 13.62, 13.78, 13.96, 14.12, 14.28, 14.48, 14.66, 14.90, 15.11, 15.28, 15.45, 15.65, 15.80, 16.02, 16.21, 16.37, 16.53, 16.71, 16.90, 17.10, 17.39, 17.57, 17.73, 17.99, 18.19, 
